location,lat,lon,arch,loss,model,q_lo,q_hi,r,delta,avg_picp,std_picp,avg_mpiw,std_mpiw,avg_wis,std_wis,calibrated,n_valid_seeds,n_seeds,n_train_seqs,n_test_pts,train_period,test_period,seq_len
Arabian_Sea,15.0,65.0,LSTM,Tube,LSTM-Tube-Cal,,,0.5,0.01,96.16438356164385,1.4323641224984636,0.024998374,0.0013716829,0.027308608801275,0.002090891917324,True,5,5,846,219,2021-01 to 2023-05,2023-05 to 2023-12,30
Andaman_Sea,11.0,95.0,LSTM,Tube,LSTM-Tube-Cal,,,0.5,0.05,92.05479452054794,2.576572781674135,0.013234628,0.00040081382,0.0186728136135603,0.0025232036494033,True,5,5,846,219,2021-01 to 2023-05,2023-05 to 2023-12,30
South_IO,-5.0,75.0,GRU,Tube,GRU-Tube-Cal,,,0.5,0.05,99.08675799086758,0.7640730835927628,0.016911851,0.0011595922,0.0169842947502658,0.00121571036382,True,5,5,846,219,2021-01 to 2023-05,2023-05 to 2023-12,30
Lakshadweep,10.0,73.0,GRU,Tube,GRU-Tube-Cal,,,0.5,0.05,97.62557077625571,0.8854209785235309,0.012475515,0.0005202092,0.0130686297081376,0.000892121296688,True,5,5,846,219,2021-01 to 2023-05,2023-05 to 2023-12,30
Andaman_Sea,11.0,95.0,GRU,Tube,GRU-Tube-Cal,,,0.5,0.01,96.5296803652968,0.7961459257608584,0.023926865,0.0021336402,0.0261591180893928,0.0023390993305512,True,5,5,846,219,2021-01 to 2023-05,2023-05 to 2023-12,30
Bay_of_Bengal,12.0,87.0,GRU,Tube,GRU-Tube-Cal,,,0.5,0.04,95.98173515981736,1.3359578847787974,0.011224973,0.00023450381,0.0129556326078769,0.0005656944509447,True,5,5,846,219,2021-01 to 2023-05,2023-05 to 2023-12,30
Arabian_Sea,15.0,65.0,GRU,Tube,GRU-Tube-Cal,,,0.5,0.04,99.08675799086758,0.6457596175219597,0.012354519,0.0012314194,0.0124988977384077,0.0013410493637642,True,5,5,846,219,2021-01 to 2023-05,2023-05 to 2023-12,30
Lakshadweep,10.0,73.0,LSTM,Tube,LSTM-Tube-Cal,,,0.5,0.1,87.39726027397259,2.925226918364742,0.008945518,0.0010572162,0.0136853201551252,0.0010409725275863,True,5,5,846,219,2021-01 to 2023-05,2023-05 to 2023-12,30
South_IO,-5.0,75.0,LSTM,Tube,LSTM-Tube-Cal,,,0.5,0.05,94.337899543379,1.928649505200264,0.019129599,0.001820727,0.0211467703867584,0.0028261017705833,True,5,5,846,219,2021-01 to 2023-05,2023-05 to 2023-12,30
Andaman_Sea,11.0,95.0,Mamba,Tube,Mamba-Tube,,,0.5,0.01,92.51141552511416,2.8236757687196885,0.16422626,0.005202066,0.2141058320498357,0.0217732285270592,False,5,5,846,219,2021-01 to 2023-05,2023-05 to 2023-12,30
Bay_of_Bengal,12.0,87.0,SimpleRNN,Quantile,SimpleRNN-Quantile,0.1,0.9,,,97.35159817351598,1.2046489459609977,0.010146532,0.0008602534,0.0109662499949744,0.0010629514890979,False,5,5,846,219,2021-01 to 2023-05,2023-05 to 2023-12,30
Lakshadweep,10.0,73.0,Mamba,Quantile,Mamba-Quantile,0.1,0.9,,,68.85844748858447,8.520112357764821,0.07213196,0.027181456,0.1932807877759818,0.0233342670287912,False,5,5,846,219,2021-01 to 2023-05,2023-05 to 2023-12,30
Lakshadweep,10.0,73.0,Mamba,Tube,Mamba-Tube,,,0.5,0.01,93.33333333333331,3.0095446672665016,0.16085401,0.016317444,0.1851407457600445,0.0213077426954363,False,5,5,846,219,2021-01 to 2023-05,2023-05 to 2023-12,30
South_IO,-5.0,75.0,Mamba,Quantile,Mamba-Quantile,0.1,0.9,,,67.67123287671232,1.9025266352511088,0.072667584,0.010096983,0.5085269440724425,0.0707000755129541,False,5,5,846,219,2021-01 to 2023-05,2023-05 to 2023-12,30
Andaman_Sea,11.0,95.0,Mamba,Quantile,Mamba-Quantile,0.1,0.9,,,76.07305936073058,9.382867243135214,0.09982033,0.022283299,0.2877114167727292,0.0447117736015555,False,5,5,846,219,2021-01 to 2023-05,2023-05 to 2023-12,30
