arch,loss,model,Avg_PICP,Std_PICP,Avg_MPIW,Std_MPIW,Avg_WIS,Std_WIS,r,delta,Locations,Seeds
SimpleRNN,Tube,SimpleRNN-Tube,99.17808219178082,0.5754150948590242,0.0252883484,0.00321338066,0.02550445723852336,0.0032842818203476,0.5,0.01,5,5
GRU,Tube,GRU-Tube-Cal,97.662100456621,0.8854714980355818,0.015378744599999999,0.001055872962,0.01633331457881616,0.00127073496115362,0.5,0.05,5,5
SimpleRNN,Quantile,SimpleRNN-Quantile,97.53424657534246,1.7209158011534147,0.0134536136,0.00155192938,0.014246836295734741,0.00175170989044004,,,5,5
DeepAR,NLL-Gaussian,DeepAR-NLL-Gaussian,96.69406392694063,2.8296829465745645,0.01750001330494766,0.0016802616480207598,0.01980863892717206,0.0030104303792053196,,,5,5
GRU,Quantile,GRU-Quantile,96.0,2.384272206375213,0.012314826000000001,0.000926895132,0.013861249529723379,0.00170576681235502,,,5,5
LSTM,Tube,LSTM-Tube,94.88584474885845,0.9313277650397755,0.024619732,0.0028354442,0.0300660316691823,0.0057856140717768,0.5,0.01,1,5
LSTM,Tube,LSTM-Tube-Cal,92.48858447488584,2.2157033319344013,0.01657702975,0.00116260998,0.020203378239179726,0.002120292466224225,0.5,0.01,4,5
LSTM,Quantile,LSTM-Quantile,91.61643835616437,3.41458762717649,0.013522156600000002,0.001071516628,0.01861856306573024,0.0037943769719895604,,,5,5
Mamba,Tube,Mamba-Tube,90.95890410958904,3.209011510057396,0.140145586,0.0181193116,0.20442879628887392,0.02707619570879574,0.5,0.01,5,5
Transformer,Tube,Transformer-Tube,84.01826484018265,4.767788261763885,0.122442195,0.0210087832,0.30097474486773895,0.02825286436002466,0.5,0.01,5,5
Mamba,Quantile,Mamba-Quantile,73.71689497716895,6.686734554782944,0.07317537919999999,0.01792657088,0.2595964362291866,0.04318601909125164,,,5,5
Transformer,Quantile,Transformer-Quantile,65.82648401826484,9.974309609112149,0.079288633,0.012946840079999999,0.39531368388292776,0.07073062652733905,,,5,5
