location,lat,lon,arch,loss,model,q_lo,q_hi,r,delta,avg_picp,std_picp,avg_mpiw,std_mpiw,avg_wis,std_wis,calibrated,n_valid_seeds,n_seeds,n_train_seqs,n_test_pts,train_period,test_period,seq_len
Arabian_Sea,15.0,65.0,GRU,Quantile,GRU-Quantile,0.1,0.9,,,98.2648401826484,1.4554682603204798,0.010841729,0.0007812336,0.011255159917596267,0.001035850626221033,False,5,5,846,219,2021-01 to 2023-05,2023-05 to 2023-12,30
Arabian_Sea,15.0,65.0,GRU,Tube,GRU-Tube,,,0.5,0.01,99.26940639269407,1.0650140447206002,0.02004714,0.0018637647,0.02024147528980148,0.0018191743864990988,False,5,5,846,219,2021-01 to 2023-05,2023-05 to 2023-12,30
Bay_of_Bengal,12.0,87.0,GRU,Quantile,GRU-Quantile,0.1,0.9,,,91.23287671232876,5.68415208021751,0.009613593,0.0007311364,0.012815662412692408,0.0035160341026450924,False,5,5,846,219,2021-01 to 2023-05,2023-05 to 2023-12,30
Bay_of_Bengal,12.0,87.0,GRU,Tube,GRU-Tube,,,0.5,0.01,97.99086757990867,1.3421861604291419,0.019110331,0.0017528182,0.01988208628451988,0.002509607555571095,False,5,5,846,219,2021-01 to 2023-05,2023-05 to 2023-12,30
Andaman_Sea,11.0,95.0,GRU,Quantile,GRU-Quantile,0.1,0.9,,,93.6986301369863,2.262924510203447,0.012530861,0.00042760686,0.015972156465278085,0.0012065329864433233,False,5,5,846,219,2021-01 to 2023-05,2023-05 to 2023-12,30
Andaman_Sea,11.0,95.0,GRU,Tube,GRU-Tube,,,0.5,0.01,96.43835616438358,0.8854209785235373,0.023852045,0.0013826368,0.026159455033007272,0.003177533031247646,False,5,5,846,219,2021-01 to 2023-05,2023-05 to 2023-12,30
Lakshadweep,10.0,73.0,GRU,Quantile,GRU-Quantile,0.1,0.9,,,98.35616438356165,1.3421861604291372,0.012557444,0.0009281015,0.012922817826243837,0.0011074492141151977,False,5,5,846,219,2021-01 to 2023-05,2023-05 to 2023-12,30
Lakshadweep,10.0,73.0,GRU,Tube,GRU-Tube,,,0.5,0.01,99.45205479452054,0.7305936073059343,0.026853561,0.0044598742,0.026972397862749013,0.004591899254649056,False,5,5,846,219,2021-01 to 2023-05,2023-05 to 2023-12,30
South_IO,-5.0,75.0,GRU,Quantile,GRU-Quantile,0.1,0.9,,,98.44748858447488,1.1766300207054903,0.016030503,0.0017663973,0.016340451026806552,0.0016629671323507003,False,5,5,846,219,2021-01 to 2023-05,2023-05 to 2023-12,30
South_IO,-5.0,75.0,GRU,Tube,GRU-Tube,,,0.5,0.01,99.90867579908675,0.1826484018264864,0.030346517,0.0019483217,0.030351762778900525,0.0019470158079782271,False,5,5,846,219,2021-01 to 2023-05,2023-05 to 2023-12,30
Arabian_Sea,15.0,65.0,GRU,Tube,GRU-Tube-Cal,,,0.5,0.04,99.08675799086758,0.6457596175219597,0.012354519,0.0012314194,0.012498897738407736,0.0013410493637642327,True,5,5,846,219,2021-01 to 2023-05,2023-05 to 2023-12,30
Bay_of_Bengal,12.0,87.0,GRU,Tube,GRU-Tube-Cal,,,0.5,0.04,95.98173515981735,1.3359578847787974,0.011224973,0.00023450381,0.012955632607876985,0.0005656944509447719,True,5,5,846,219,2021-01 to 2023-05,2023-05 to 2023-12,30
Andaman_Sea,11.0,95.0,GRU,Tube,GRU-Tube-Cal,,,0.5,0.01,96.52968036529681,0.7961459257608584,0.023926865,0.0021336402,0.026159118089392842,0.002339099330551294,True,5,5,846,219,2021-01 to 2023-05,2023-05 to 2023-12,30
Lakshadweep,10.0,73.0,GRU,Tube,GRU-Tube-Cal,,,0.5,0.05,97.62557077625571,0.8854209785235309,0.012475515,0.0005202092,0.013068629708137686,0.0008921212966880018,True,5,5,846,219,2021-01 to 2023-05,2023-05 to 2023-12,30
South_IO,-5.0,75.0,GRU,Tube,GRU-Tube-Cal,,,0.5,0.05,99.08675799086758,0.7640730835927628,0.016911851,0.0011595922,0.01698429475026588,0.0012157103638200826,True,5,5,846,219,2021-01 to 2023-05,2023-05 to 2023-12,30
