location,lat,lon,arch,loss,model,q_lo,q_hi,r,delta,avg_picp,std_picp,avg_mpiw,std_mpiw,avg_wis,std_wis,calibrated,n_valid_seeds,n_seeds,n_train_seqs,n_test_pts,train_period,test_period,seq_len
Arabian_Sea,15.0,65.0,LSTM,Quantile,LSTM-Quantile,0.1,0.9,,,94.97716894977168,1.8035084619298163,0.012050482,0.00068761164,0.015415554676235533,0.0015398497065804721,False,5,5,846,219,2021-01 to 2023-05,2023-05 to 2023-12,30
Arabian_Sea,15.0,65.0,LSTM,Tube,LSTM-Tube,,,0.5,0.01,98.26484018264841,0.885420978523531,0.026348883,0.002935776,0.02744451471667856,0.0027294681159192647,False,5,5,846,219,2021-01 to 2023-05,2023-05 to 2023-12,30
Bay_of_Bengal,12.0,87.0,LSTM,Quantile,LSTM-Quantile,0.1,0.9,,,91.59817351598173,2.460674627453419,0.01052569,0.0005962008,0.016060204607629337,0.0035763901028958945,False,5,5,846,219,2021-01 to 2023-05,2023-05 to 2023-12,30
Bay_of_Bengal,12.0,87.0,LSTM,Tube,LSTM-Tube,,,0.5,0.01,94.88584474885843,0.9313277650397757,0.024619732,0.0028354442,0.030066031669182324,0.0057856140717768186,False,5,5,846,219,2021-01 to 2023-05,2023-05 to 2023-12,30
Andaman_Sea,11.0,95.0,LSTM,Quantile,LSTM-Quantile,0.1,0.9,,,85.11415525114155,5.114155251141554,0.013211666,0.0007383839,0.024114207856282238,0.00546647637101321,False,5,5,846,219,2021-01 to 2023-05,2023-05 to 2023-12,30
Andaman_Sea,11.0,95.0,LSTM,Tube,LSTM-Tube,,,0.5,0.01,96.62100456621005,1.3421861604291407,0.03132308,0.003781817,0.034360794307788205,0.005422148432787904,False,5,5,846,219,2021-01 to 2023-05,2023-05 to 2023-12,30
Lakshadweep,10.0,73.0,LSTM,Quantile,LSTM-Quantile,0.1,0.9,,,92.05479452054794,6.898453869596807,0.014075999,0.0014348777,0.018134728611400138,0.006381611289905987,False,5,5,846,219,2021-01 to 2023-05,2023-05 to 2023-12,30
Lakshadweep,10.0,73.0,LSTM,Tube,LSTM-Tube,,,0.5,0.01,97.26027397260273,3.254525969169949,0.08700426,0.098528504,0.10149919290482726,0.12626259344377339,False,5,5,846,219,2021-01 to 2023-05,2023-05 to 2023-12,30
South_IO,-5.0,75.0,LSTM,Quantile,LSTM-Quantile,0.1,0.9,,,94.337899543379,0.7961459257608535,0.017746946,0.0019005091,0.019368119577104104,0.0020075573895525158,False,5,5,846,219,2021-01 to 2023-05,2023-05 to 2023-12,30
South_IO,-5.0,75.0,LSTM,Tube,LSTM-Tube,,,0.5,0.01,96.25570776255708,1.3668154837530369,0.035861176,0.0022645583,0.037186359954506296,0.002407591797094271,False,5,5,846,219,2021-01 to 2023-05,2023-05 to 2023-12,30
Arabian_Sea,15.0,65.0,LSTM,Tube,LSTM-Tube-Cal,,,0.5,0.02,96.43835616438356,1.7661259913985152,0.019738229,0.002768369,0.021914863733573042,0.0034386798621123577,True,5,5,846,219,2021-01 to 2023-05,2023-05 to 2023-12,30
Arabian_Sea,15.0,65.0,LSTM,Tube,LSTM-Tube-Cal,,,0.5,0.01,96.89497716894978,1.9025266352511128,0.026944533,0.0015859683,0.027833121718473085,0.0013985231475554727,True,5,5,846,219,2021-01 to 2023-05,2023-05 to 2023-12,30
Andaman_Sea,11.0,95.0,LSTM,Tube,LSTM-Tube-Cal,,,0.5,0.05,92.05479452054794,2.576572781674135,0.013234628,0.00040081382,0.018672813613560314,0.002523203649403389,True,5,5,846,219,2021-01 to 2023-05,2023-05 to 2023-12,30
Lakshadweep,10.0,73.0,LSTM,Tube,LSTM-Tube-Cal,,,0.5,0.1,87.39726027397259,2.925226918364742,0.008945518,0.0010572162,0.013685320155125219,0.0010409725275863494,True,5,5,846,219,2021-01 to 2023-05,2023-05 to 2023-12,30
Arabian_Sea,15.0,65.0,LSTM,Tube,LSTM-Tube-Cal,,,0.5,0.01,96.16438356164383,1.4323641224984636,0.024998374,0.0013716829,0.027308608801275076,0.00209089191732408,True,5,5,846,219,2021-01 to 2023-05,2023-05 to 2023-12,30
Arabian_Sea,15.0,65.0,LSTM,Tube,LSTM-Tube-Cal,,,0.5,0.04,94.7945205479452,1.1034745181364911,0.013774244,0.0011412698,0.016824117446000163,0.0019221504568140114,True,5,5,846,219,2021-01 to 2023-05,2023-05 to 2023-12,30
Andaman_Sea,11.0,95.0,LSTM,Tube,LSTM-Tube-Cal,,,0.5,0.01,98.35616438356165,1.7942358634144777,0.029431563,0.0031345994,0.030515047617930252,0.0030999747912710805,True,5,5,846,219,2021-01 to 2023-05,2023-05 to 2023-12,30
Lakshadweep,10.0,73.0,LSTM,Tube,LSTM-Tube-Cal,,,0.5,0.01,97.6255707762557,2.299484623198937,0.057525862,0.04530433,0.06115624975111659,0.05148502996335867,True,5,5,846,219,2021-01 to 2023-05,2023-05 to 2023-12,30
South_IO,-5.0,75.0,LSTM,Tube,LSTM-Tube-Cal,,,0.5,0.05,94.337899543379,1.928649505200264,0.019129599,0.001820727,0.02114677038675846,0.0028261017705833594,True,5,5,846,219,2021-01 to 2023-05,2023-05 to 2023-12,30
